trip_id,duration,start_date,start_station,start_terminal,end_date,end_station,end_terminal,bike#,subscriber_type,zip_code,day
1159454,390,4/13/2016 7:09,San Francisco Caltrain 2 (330 Townsend),69,4/13/2016 7:16,Howard at 2nd,63,652,Subscriber,94062,Weekday
1159455,714,4/13/2016 7:10,San Francisco Caltrain (Townsend at 4th),70,4/13/2016 7:22,Davis at Jackson,42,359,Subscriber,94030,Weekday
1159456,676,4/13/2016 7:10,Harry Bridges Plaza (Ferry Building),50,4/13/2016 7:21,San Francisco Caltrain (Townsend at 4th),70,514,Subscriber,94930,Weekday
1159457,400,4/13/2016 7:10,San Francisco Caltrain 2 (330 Townsend),69,4/13/2016 7:17,Spear at Folsom,49,529,Subscriber,94087,Weekday
1159458,820,4/13/2016 7:11,San Francisco Caltrain (Townsend at 4th),70,4/13/2016 7:24,Davis at Jackson,42,578,Subscriber,94087,Weekday
1159459,926,4/13/2016 7:12,San Francisco Caltrain (Townsend at 4th),70,4/13/2016 7:27,Beale at Market,56,582,Subscriber,95123,Weekday
1159463,251,4/13/2016 7:15,Grant Avenue at Columbus Avenue,73,4/13/2016 7:19,Mechanics Plaza (Market at Battery),75,485,Subscriber,94133,Weekday
1159464,328,4/13/2016 7:15,Embarcadero at Sansome,60,4/13/2016 7:21,Harry Bridges Plaza (Ferry Building),50,513,Subscriber,94111,Weekday
1159465,333,4/13/2016 7:16,Howard at 2nd,63,4/13/2016 7:22,2nd at Townsend,61,652,Subscriber,94107,Weekday
1159466,478,4/13/2016 7:19,Temporary Transbay Terminal (Howard at Beale),55,4/13/2016 7:27,2nd at Townsend,61,318,Subscriber,94549,Weekday
1159467,244,4/13/2016 7:19,Cowper at University,37,4/13/2016 7:23,Palo Alto Caltrain Station,34,32,Subscriber,94301,Weekday
1159468,836,4/13/2016 7:22,San Francisco Caltrain 2 (330 Townsend),69,4/13/2016 7:36,Steuart at Market,74,348,Subscriber,94107,Weekday
1159473,492,4/13/2016 7:24,Embarcadero at Folsom,51,4/13/2016 7:32,Embarcadero at Sansome,60,628,Subscriber,94130,Weekday
