trip_id,duration,start_date,start_station,start_terminal,end_date,end_station,end_terminal,bike#,subscriber_type,zip_code,day
1291938,561,7/27/2016 7:29,San Francisco Caltrain 2 (330 Townsend),69,7/27/2016 7:39,Howard at 2nd,63,513,Subscriber,94062,Weekday
1291939,714,7/27/2016 7:30,San Francisco Caltrain (Townsend at 4th),70,7/27/2016 7:42,Beale at Market,56,193,Subscriber,94404,Weekday
1291940,328,7/27/2016 7:30,Powell at Post (Union Square),71,7/27/2016 7:36,Howard at 2nd,63,552,Subscriber,94105,Weekday
1291941,132,7/27/2016 7:31,2nd at Townsend,61,7/27/2016 7:33,2nd at South Park,64,511,Subscriber,94107,Weekday
1291942,534,7/27/2016 7:32,San Francisco Caltrain 2 (330 Townsend),69,7/27/2016 7:41,Embarcadero at Folsom,51,99,Subscriber,94062,Weekday
1291943,326,7/27/2016 7:33,San Pedro Square,6,7/27/2016 7:38,San Jose Diridon Caltrain Station,2,102,Subscriber,95113,Weekday
1291948,1151,7/27/2016 7:36,San Francisco City Hall,58,7/27/2016 7:56,Embarcadero at Sansome,60,278,Subscriber,94133,Weekday
1291949,464,7/27/2016 7:38,Temporary Transbay Terminal (Howard at Beale),55,7/27/2016 7:45,2nd at Townsend,61,448,Subscriber,94610,Weekday
1291950,845,7/27/2016 7:38,Broadway St at Battery St,82,7/27/2016 7:52,San Francisco Caltrain (Townsend at 4th),70,403,Subscriber,94111,Weekday
1291951,945,7/27/2016 7:40,Temporary Transbay Terminal (Howard at Beale),55,7/27/2016 7:56,Townsend at 7th,65,175,Subscriber,94618,Weekday
1291952,495,7/27/2016 7:41,Townsend at 7th,65,7/27/2016 7:49,South Van Ness at Market,66,615,Subscriber,94107,Weekday
1291953,488,7/27/2016 7:41,Townsend at 7th,65,7/27/2016 7:49,South Van Ness at Market,66,311,Subscriber,94107,Weekday
1291954,944,7/27/2016 7:41,South Van Ness at Market,66,7/27/2016 7:57,Embarcadero at Sansome,60,391,Subscriber,94102,Weekday
