1297542,988,8/1/2016 7:08,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 7:24,Commercial at Montgomery,45,569,Subscriber,94401,Weekday
1297546,758,8/1/2016 7:09,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 7:21,Commercial at Montgomery,45,551,Subscriber,95130,Weekday
1297548,772,8/1/2016 7:09,Harry Bridges Plaza (Ferry Building),50,8/1/2016 7:22,Townsend at 7th,65,383,Customer,94920,Weekday
1297549,670,8/1/2016 7:09,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 7:20,Beale at Market,56,503,Subscriber,95123,Weekday
1297550,906,8/1/2016 7:09,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 7:24,Clay at Battery,41,364,Subscriber,94402,Weekday
1297551,640,8/1/2016 7:10,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 7:20,Embarcadero at Folsom,51,312,Subscriber,95129,Weekday
1297554,653,8/1/2016 7:10,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 7:21,Harry Bridges Plaza (Ferry Building),50,630,Subscriber,94402,Weekday
1297556,1064,8/1/2016 7:11,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 7:28,Embarcadero at Sansome,60,506,Subscriber,94085,Weekday
1297559,998,8/1/2016 7:11,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 7:28,Davis at Jackson,42,584,Subscriber,94087,Weekday
1297560,838,8/1/2016 7:12,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 7:26,Beale at Market,56,480,Subscriber,95123,Weekday
1297562,591,8/1/2016 7:13,South Van Ness at Market,66,8/1/2016 7:23,Mechanics Plaza (Market at Battery),75,431,Subscriber,94102,Weekday
1297563,429,8/1/2016 7:14,Temporary Transbay Terminal (Howard at Beale),55,8/1/2016 7:21,Commercial at Montgomery,45,554,Subscriber,94611,Weekday
1297564,219,8/1/2016 7:15,Temporary Transbay Terminal (Howard at Beale),55,8/1/2016 7:19,Clay at Battery,41,508,Subscriber,94105,Weekday
1297565,974,8/1/2016 7:18,Embarcadero at Sansome,60,8/1/2016 7:34,San Francisco Caltrain (Townsend at 4th),70,315,Subscriber,94111,Weekday
1297568,391,8/1/2016 7:20,Commercial at Montgomery,45,8/1/2016 7:26,Yerba Buena Center of the Arts (3rd @ Howard),68,351,Subscriber,94133,Weekday
1297573,630,8/1/2016 7:21,San Francisco City Hall,58,8/1/2016 7:32,Post at Kearny,47,334,Subscriber,94117,Weekday
1297574,458,8/1/2016 7:22,Grant Avenue at Columbus Avenue,73,8/1/2016 7:30,Temporary Transbay Terminal (Howard at Beale),55,487,Subscriber,94133,Weekday
1297575,273,8/1/2016 7:22,2nd at South Park,64,8/1/2016 7:27,Yerba Buena Center of the Arts (3rd @ Howard),68,434,Subscriber,94102,Weekday
1297576,320,8/1/2016 7:23,SJSU - San Salvador at 9th,16,8/1/2016 7:28,MLK Library,11,21,Subscriber,95112,Weekday
1297578,112,8/1/2016 7:24,Market at Sansome,77,8/1/2016 7:26,Howard at 2nd,63,625,Subscriber,94506,Weekday
1297580,493,8/1/2016 7:26,San Francisco City Hall,58,8/1/2016 7:34,San Francisco Caltrain 2 (330 Townsend),69,537,Subscriber,94117,Weekday
1297581,569,8/1/2016 7:26,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 7:36,Spear at Folsom,49,601,Subscriber,95014,Weekday
1297582,630,8/1/2016 7:27,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 7:37,Harry Bridges Plaza (Ferry Building),50,407,Subscriber,94403,Weekday
1297583,270,8/1/2016 7:27,Broadway St at Battery St,82,8/1/2016 7:32,Beale at Market,56,326,Subscriber,94111,Weekday
1297584,682,8/1/2016 7:27,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 7:39,Beale at Market,56,451,Subscriber,94404,Weekday
1297585,695,8/1/2016 7:28,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 7:40,Howard at 2nd,63,505,Subscriber,94062,Weekday
1297586,530,8/1/2016 7:28,MLK Library,11,8/1/2016 7:37,San Jose Diridon Caltrain Station,2,232,Subscriber,95112,Weekday
1297588,243,8/1/2016 7:29,Temporary Transbay Terminal (Howard at Beale),55,8/1/2016 7:33,2nd at South Park,64,155,Subscriber,94602,Weekday
1297589,423,8/1/2016 7:29,Embarcadero at Sansome,60,8/1/2016 7:36,Market at Sansome,77,506,Subscriber,94111,Weekday
1297591,321,8/1/2016 7:30,Steuart at Market,74,8/1/2016 7:35,Embarcadero at Sansome,60,417,Subscriber,94401,Weekday
1297592,631,8/1/2016 7:30,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 7:41,Embarcadero at Folsom,51,426,Subscriber,94062,Weekday
1297593,68,8/1/2016 7:32,2nd at South Park,64,8/1/2016 7:33,2nd at Townsend,61,498,Subscriber,94107,Weekday
1297594,366,8/1/2016 7:35,5th at Howard,57,8/1/2016 7:41,San Francisco Caltrain (Townsend at 4th),70,613,Subscriber,94103,Weekday
1297595,466,8/1/2016 7:36,Embarcadero at Bryant,54,8/1/2016 7:43,Clay at Battery,41,566,Subscriber,94025,Weekday
1297596,859,8/1/2016 7:36,Harry Bridges Plaza (Ferry Building),50,8/1/2016 7:50,San Francisco Caltrain 2 (330 Townsend),69,630,Subscriber,94107,Weekday
1297597,322,8/1/2016 7:38,Santa Clara at Almaden,4,8/1/2016 7:44,San Jose Diridon Caltrain Station,2,74,Subscriber,95110,Weekday
1297598,820,8/1/2016 7:39,Broadway St at Battery St,82,8/1/2016 7:52,San Francisco Caltrain (Townsend at 4th),70,111,Subscriber,94111,Weekday
1297599,191,8/1/2016 7:40,Steuart at Market,74,8/1/2016 7:43,Spear at Folsom,49,274,Subscriber,94563,Weekday
1297600,405,8/1/2016 7:40,Grant Avenue at Columbus Avenue,73,8/1/2016 7:47,Steuart at Market,74,587,Subscriber,94133,Weekday
1297601,311,8/1/2016 7:40,Harry Bridges Plaza (Ferry Building),50,8/1/2016 7:45,Embarcadero at Sansome,60,454,Subscriber,94124,Weekday
1297602,308,8/1/2016 7:40,Market at Sansome,77,8/1/2016 7:45,2nd at South Park,64,877,Subscriber,94521,Weekday
1297603,709,8/1/2016 7:40,Japantown,9,8/1/2016 7:52,San Jose Diridon Caltrain Station,2,261,Subscriber,94105,Weekday
1297604,920,8/1/2016 7:41,Cowper at University,37,8/1/2016 7:56,California Ave Caltrain Station,36,126,Subscriber,94301,Weekday
1297605,245,8/1/2016 7:42,Palo Alto Caltrain Station,34,8/1/2016 7:46,Cowper at University,37,120,Subscriber,94102,Weekday
1297608,365,8/1/2016 7:42,Steuart at Market,74,8/1/2016 7:48,Embarcadero at Sansome,60,338,Subscriber,94612,Weekday
1297609,491,8/1/2016 7:42,Townsend at 7th,65,8/1/2016 7:50,South Van Ness at Market,66,328,Subscriber,94107,Weekday
1297610,488,8/1/2016 7:42,Townsend at 7th,65,8/1/2016 7:50,South Van Ness at Market,66,383,Subscriber,94107,Weekday
1297612,506,8/1/2016 7:43,Temporary Transbay Terminal (Howard at Beale),55,8/1/2016 7:51,Embarcadero at Vallejo,48,487,Subscriber,94611,Weekday
1297615,539,8/1/2016 7:44,Powell Street BART,39,8/1/2016 7:53,San Francisco Caltrain 2 (330 Townsend),69,457,Subscriber,94606,Weekday
