trip_id,duration,start_date,start_station,start_terminal,end_date,end_station,end_terminal,bike#,subscriber_type,zip_code,day
1065643,399,1/20/2016 11:28,Steuart at Market,74,1/20/2016 11:35,Embarcadero at Sansome,60,477,Subscriber,94708,Weekday
1065644,416,1/20/2016 11:28,San Francisco Caltrain 2 (330 Townsend),69,1/20/2016 11:35,5th at Howard,57,594,Subscriber,94608,Weekday
1065645,903,1/20/2016 11:33,Mountain View Caltrain Station,28,1/20/2016 11:48,Charleston Park/ North Bayshore Area,33,232,Customer,nil,Weekday
1065646,546,1/20/2016 11:34,Grant Avenue at Columbus Avenue,73,1/20/2016 11:43,Yerba Buena Center of the Arts (3rd @ Howard),68,559,Subscriber,94133,Weekday
1065647,794,1/20/2016 11:34,2nd at Townsend,61,1/20/2016 11:47,Market at 4th,76,531,Subscriber,94596,Weekday
1065648,507,1/20/2016 11:35,Market at 4th,76,1/20/2016 11:43,San Francisco Caltrain (Townsend at 4th),70,549,Subscriber,94112,Weekday
1065649,395,1/20/2016 11:35,Grant Avenue at Columbus Avenue,73,1/20/2016 11:41,Mechanics Plaza (Market at Battery),75,400,Subscriber,94104,Weekday
1065650,440,1/20/2016 11:35,2nd at Folsom,62,1/20/2016 11:43,Commercial at Montgomery,45,493,Subscriber,94403,Weekday
1065651,218,1/20/2016 11:36,Santa Clara at Almaden,4,1/20/2016 11:40,Arena Green / SAP Center,14,27,Subscriber,95113,Weekday
1065652,312,1/20/2016 11:38,Civic Center BART (7th at Market),72,1/20/2016 11:43,Market at 10th,67,564,Subscriber,94110,Weekday
1065653,605,1/20/2016 11:41,Temporary Transbay Terminal (Howard at Beale),55,1/20/2016 11:51,2nd at South Park,64,335,Subscriber,94105,Weekday
1065654,636,1/20/2016 11:42,Embarcadero at Bryant,54,1/20/2016 11:53,Washington at Kearny,46,416,Subscriber,94105,Weekday
1065655,405,1/20/2016 11:43,Market at 4th,76,1/20/2016 11:50,San Francisco Caltrain 2 (330 Townsend),69,111,Subscriber,94587,Weekday
1065656,314,1/20/2016 11:44,Embarcadero at Vallejo,48,1/20/2016 11:50,Embarcadero at Folsom,51,137,Subscriber,94602,Weekday
1065657,314,1/20/2016 11:45,Mechanics Plaza (Market at Battery),75,1/20/2016 11:50,Powell at Post (Union Square),71,361,Subscriber,94941,Weekday
1065660,524,1/20/2016 11:46,2nd at South Park,64,1/20/2016 11:55,Powell Street BART,39,364,Subscriber,94158,Weekday
1065661,386,1/20/2016 11:46,Post at Kearny,47,1/20/2016 11:53,Broadway St at Battery St,82,449,Subscriber,94118,Weekday
1065662,311,1/20/2016 11:47,Beale at Market,56,1/20/2016 11:52,Post at Kearny,47,86,Subscriber,94111,Weekday
1065663,297,1/20/2016 11:51,Davis at Jackson,42,1/20/2016 11:56,Grant Avenue at Columbus Avenue,73,458,Subscriber,94111,Weekday
1065664,246,1/20/2016 11:52,Mechanics Plaza (Market at Battery),75,1/20/2016 11:56,Harry Bridges Plaza (Ferry Building),50,437,Subscriber,94104,Weekday
1065665,533,1/20/2016 11:55,Embarcadero at Bryant,54,1/20/2016 12:04,Embarcadero at Vallejo,48,465,Subscriber,94107,Weekday
1065666,2419,1/20/2016 11:55,Arena Green / SAP Center,14,1/20/2016 12:35,Arena Green / SAP Center,14,231,Customer,94022,Weekday
